ID,C_SWIFT_C,CLASS_ID
140220008286,BLOPIT22891,CL_BANK_F
140220008336,BLOPIT22892,CL_BANK_F
140220008386,BLOPIT22893,CL_BANK_F
140220008436,BLOPIT22894,CL_BANK_F
140220008486,BLOPIT22895,CL_BANK_F
140220008536,BLOPIT22896,CL_BANK_F
140220008586,BLOPIT22897,CL_BANK_F
140220008636,BLOPIT22898,CL_BANK_F
140220008686,BLOPIT22899,CL_BANK_F
140220008736,BLOPIT22900,CL_BANK_F
140220008786,BLOPIT22901,CL_BANK_F
140220008836,BLOPIT22902,CL_BANK_F
140220008886,BLOPIT22903,CL_BANK_F
140220008936,BLOPIT22904,CL_BANK_F
140220008986,BLOPIT22905,CL_BANK_F
140220009036,BLOPIT22906,CL_BANK_F
140220009086,BLOPIT22907,CL_BANK_F
140220009136,BLOPIT22908,CL_BANK_F
140220009186,BLOPIT22909,CL_BANK_F
140220009236,BLOPIT22910,CL_BANK_F
140220009286,BLOPIT22911,CL_BANK_F
140220009336,BLOPIT22912,CL_BANK_F
140220009386,BLOPIT22913,CL_BANK_F
140220009436,BLOPIT22914,CL_BANK_F
140220009486,BLOPIT22915,CL_BANK_F
140220009536,BLOPIT22916,CL_BANK_F
140220009586,BLOPIT22917,CL_BANK_F
140220009636,BLOPIT22918,CL_BANK_F
140220009686,BLOPIT22919,CL_BANK_F
140220009736,BLOPIT22920,CL_BANK_F
140220009786,BLOPIT22921,CL_BANK_F
140220009836,BLOPIT22922,CL_BANK_F
140220009886,BLOPIT22923,CL_BANK_F
140220009936,BLOPIT22924,CL_BANK_F
140220009986,BLOPIT22925,CL_BANK_F
140220010036,BLOPIT22926,CL_BANK_F
140220010086,BLOPIT22927,CL_BANK_F
140220010136,BLOPIT22928,CL_BANK_F
140220010186,BLOPIT22929,CL_BANK_F
140220010236,BLOPIT22930,CL_BANK_F
140220010286,BLOPIT22931,CL_BANK_F
140220010336,BLOPIT22932,CL_BANK_F
140220010386,BLOPIT22933,CL_BANK_F
140220010436,BLOPIT22934,CL_BANK_F
140220010486,BLOPIT22935,CL_BANK_F
140220010536,BLOPIT22936,CL_BANK_F
140220010586,BLOPIT22937,CL_BANK_F
140220010636,BLOPIT22938,CL_BANK_F
140220010686,BLOPIT22939,CL_BANK_F
140220010736,BLOPIT22940,CL_BANK_F
140220010786,BLOPIT22941,CL_BANK_F
140220010836,BLOPIT22942,CL_BANK_F
140220010886,BLOPIT22943,CL_BANK_F
140220010936,BLOPIT22944,CL_BANK_F
140220010986,BLOPIT22945,CL_BANK_F
140220011036,BLOPIT22946,CL_BANK_F
140220011086,BLOPIT22947,CL_BANK_F
140220011136,BLOPIT22948,CL_BANK_F
140220011186,BLOPIT22949,CL_BANK_F
140220011236,BLOPIT22950,CL_BANK_F
140220011286,BLOPIT22951,CL_BANK_F
140220011336,BLOPIT22952,CL_BANK_F
140220011386,BLOPIT22953,CL_BANK_F
140220011436,BLOPIT22954,CL_BANK_F
140220011486,BLOPIT22955,CL_BANK_F
140220011536,BLOPIT22956,CL_BANK_F
140220011586,BLOPIT22957,CL_BANK_F
140220011636,BLOPIT22958,CL_BANK_F
140220011686,BLOPIT22959,CL_BANK_F
140220011736,BLOPIT22960,CL_BANK_F
140220011786,BLOPIT22961,CL_BANK_F
140220011836,BLOPIT22962,CL_BANK_F
140220011886,BLOPIT22963,CL_BANK_F
140220011936,BLOPIT22964,CL_BANK_F
140220011986,BLOPIT22965,CL_BANK_F
140220012036,BLOPIT22966,CL_BANK_F
140220012086,BLOPIT22967,CL_BANK_F
140220012136,BLOPIT22968,CL_BANK_F
140220012186,BLOPIT22969,CL_BANK_F
140220012236,BLOPIT22970,CL_BANK_F
140220012286,BLOPIT22971,CL_BANK_F
140220012336,BLOPIT22972,CL_BANK_F
140220012386,BLOPIT22973,CL_BANK_F
140220012436,BLOPIT22974,CL_BANK_F
140220012486,BLOPIT22975,CL_BANK_F
140220012536,BLOPIT22976,CL_BANK_F
140220012586,BLOPIT22977,CL_BANK_F
140220012636,BLOPIT22978,CL_BANK_F
140220012686,BLOPIT22979,CL_BANK_F
140220012736,BLOPIT22980,CL_BANK_F
140220012786,BLOPIT22981,CL_BANK_F
